Course ID,Course Title,Course Description,Upper Div,keywords
ECS 011, Artificial Intelligence for All," Comprehensive introduction to artificial intelligence (AI) and its multifaceted applications. Foundational understanding of modern AI to enable effective communication about its functions, recognition of its applications, and awareness of its core principles. Ethical and societal implications of AI.",False,"['ai', 'intelligence', 'ethical', 'awareness', 'introduction', 'artificial', 'communication', 'comprehensive', 'recognition', 'applications']"
ECS 012, Introduction to Media Computation, Introduction to key computational ideas necessary to understand and produce digital media. Fundamentals of programming are covered as well as analysis of how media are represented and transmitted in digital form. Aimed primarily at non-computer science students.,False,"['programming', 'computational', 'digital', 'media', 'fundamentals', 'introduction', 'students', 'analysis', 'science', 'represented']"
ECS 017," Data, Logic, & Computing"," Display, processing, and representation of information and data on a computer. Understanding and analyzing the digital representations of numbers, images, and sounds. Basic computer operations and their logic. Introduction to discrete mathematics in computer science, including propositional logic, proofs by induction, recursions, and counting. Introduction to algorithms. Uses of computers and their influence on society.",False,"['computers', 'algorithms', 'mathematics', 'processing', 'numbers', 'digital', 'operations', 'analyzing', 'images', 'data']"
ECS 020, Discrete Mathematics For Computer Science," Discrete mathematics of particular utility to computer science. Proofs by induction. Propositional and first-order logic. Sets, functions, and relations. Big-O and related notations. Recursion and solutions of recurrence relations. Combinatorics. Probability on finite probability spaces. Graph theory.",False,"['mathematics', 'discrete', 'combinatorics', 'recursion', 'induction', 'utility', 'sets', 'theory', 'relations', 'graph']"
ECS 032A, Introduction to Programming, Introduction to programming and problem solving in Python. Aimed primarily at non-major students.,False,"['python', 'programming', 'students', 'introduction', 'solving', 'major', 'problem', 'at', 'in', 'and']"
ECS 032AV, Introduction to Programming, Introduction to programming and problem solving in Python. Aimed primarily at non-major students.,False,"['python', 'programming', 'students', 'introduction', 'solving', 'major', 'problem', 'at', 'in', 'and']"
ECS 032B, Introduction to Data Structures," Design and analysis of data structures using Python; trees, heaps, searching, sorting, and graphs.",False,"['heaps', 'python', 'structures', 'graphs', 'trees', 'sorting', 'data', 'searching', 'analysis', 'design']"
ECS 032C, Implementation of Data Structures in C, Programming in the C language. Use of basic UNIX tools. Writing good programs of increased complexity and efficiency. Implementation of data structures in C.,False,"['programming', 'unix', 'programs', 'implementation', 'basic', 'structures', 'language', 'tools', 'data', 'complexity']"
ECS 034, Software Development in UNIX & C++, UNIX Operating system tools and programming environment. Methods for debugging and verification. Principles object-oriented programming in C++.,False,"['unix', 'debugging', 'programming', 'tools', 'operating', 'system', 'environment', 'verification', 'methods', 'principles']"
ECS 036A, Programming & Problem Solving," Computers and computer programming for students with some prior experience, algorithm design, and debugging. Good programming style. Use of basic UNIX tools.",False,"['programming', 'unix', 'computers', 'debugging', 'basic', 'students', 'tools', 'algorithm', 'design', 'experience']"
ECS 036B, Software Development & Object-Oriented Programming in C++, Object-oriented programming in C++. Basic data structures and their use. Writing good programs of increased complexity and efficiency. Methods for debugging and verification.,False,"['programming', 'debugging', 'programs', 'basic', 'structures', 'object', 'complexity', 'methods', 'oriented', 'data']"
ECS 036C," Data Structures, Algorithms, & Programming"," Design and analysis of data structures for a variety of applications; trees, heaps, searching, sorting, hashing, and graphs. Extensive programming.",False,"['hashing', 'heaps', 'structures', 'sorting', 'data', 'searching', 'graphs', 'trees', 'programming', 'applications']"
ECS 050, Computer Organization & Machine-Dependent Programming, Comparative study of different hardware architectures via programming in the assembly languages of various machines. Role of system software in producing an abstract machine. Introduction to I/O devices and programming.,False,"['hardware', 'architectures', 'programming', 'machines', 'assembly', 'software', 'machine', 'languages', 'system', 'abstract']"
ECS 088, Ethics of Technology," Foundations of normative ethics for technology, its relationships to moral philosophy and to the law. Technologies and their impacts on the environment and society. Justice, meritocracy, and computer science and engineering. Ethical issues with AI and machine learning.",False,"['ethical', 'ethics', 'technologies', 'technology', 'moral', 'normative', 'philosophy', 'ai', 'engineering', 'society']"
ECS 089A, Special Topics in Computer Science: Computer Science Theory, Special topics in Computer Science Theory.,False,"['topics', 'theory', 'science', 'special', 'in']"
ECS 089B, Special Topics in Computer Science: Architecture, Special topics in Architecture.,False,"['architecture', 'topics', 'special', 'in']"
ECS 089C, Special Topics in Computer Science: Programming Languages & Compilers, Special topics in Programming Languages & Compilers.,False,"['compilers', 'programming', 'topics', 'languages', 'special', 'in']"
ECS 089D, Special Topics in Computer Science: Operating Systems, Special topics in Operating Systems.,False,"['operating', 'systems', 'topics', 'special', 'in']"
ECS 089E, Special Topics in Computer Science: Software Engineering, Special topics in Software Engineering.,False,"['topics', 'software', 'engineering', 'special', 'in']"
ECS 089F, Special Topics in Computer Science: Databases, Special topics in Databases.,False,"['databases', 'topics', 'special', 'in']"
ECS 089G, Special Topics in Computer Science: Artificial Intelligence, Special topics in Artificial Intelligence.,False,"['topics', 'intelligence', 'artificial', 'special', 'in']"
ECS 089H, Special Topics in Computer Science: Computer Graphics, Special topics in Computer Graphics.,False,"['graphics', 'topics', 'special', 'in']"
ECS 089I, Special Topics in Computer Science: Networks, Special topics in Networks.,False,"['networks', 'topics', 'special', 'in']"
ECS 089J, Special Topics in Computer Science: Computer-Aided Design, Special topics in Computer-Aided Design.,False,"['design', 'topics', 'aided', 'special', 'in']"
ECS 089K, Special Topics in Computer Science: Scientific Computing, Special topics in Scientific Computing.,False,"['computing', 'topics', 'scientific', 'special', 'in']"
ECS 089L, Special Topics in Computer Science: Computer Science, Special topics in Computer Science.,False,"['topics', 'science', 'special', 'in']"
ECS 092, Internship in Computer Science, Supervised work experience in computer science.,False,"['supervised', 'experience', 'work', 'science', 'in']"
ECS 098, Directed Group Study, Directed group study.,False,"['group', 'study', 'directed']"
ECS 098F, Student Facilitated Course, Student facilitated course intended primarily for lower division students.,False,"['students', 'facilitated', 'division', 'primarily', 'course', 'lower', 'for', 'intended']"
ECS 099, Special Study for Lower Division Students, Special study for lower division students.,False,"['study', 'students', 'division', 'special', 'lower', 'for']"
ECS 111, Applied Machine Learning for Non-Majors," Machine learning methods and their application. Theory, design and evaluation of supervised/unsupervised machine learning algorithms. Practical use of matching learning methods and their challenges.",True,"['supervised', 'matching', 'algorithms', 'learning', 'unsupervised', 'machine', 'application', 'theory', 'methods', 'challenges']"
ECS 113, Computer Security for Non-Majors," Principles, mechanisms, implementation, and sound practices of computer security and data protection. Cryptography, authentication and access control. Internet security. Malicious software. Common vulnerabilities. Practical security in everyday life. Not intended for Computer Science or Computer Science & Engineering majors.",True,"['security', 'vulnerabilities', 'authentication', 'cryptography', 'protection', 'principles', 'malicious', 'practices', 'implementation', 'software']"
ECS 115, Computer Networks for Non-Majors," Overview of computer networks, World Wide Web, email, local & wide-area computer networks, TCP/IP protocol suite, network protocols for data transmission, introduction to network programming.",True,"['tcp', 'protocols', 'protocol', 'ip', 'network', 'web', 'networks', 'overview', 'programming', 'introduction']"
ECS 116, Databases for Non-Majors," Overview of Database Systems, Conceptual Modeling and Design, E/R diagrams, Relational Model, Relational Algebra, SQL, File and Index Structures, Query Evaluation, Transaction Concepts, Concurrency and Recovery, and NoSQL Databases.",True,"['databases', 'database', 'nosql', 'relational', 'sql', 'concurrency', 'diagrams', 'overview', 'transaction', 'systems']"
ECS 117, Algorithms for Data Science," Algorithms for searching, pattern matching, combinatorial problems, clustering, and time series analysis with practical emphasis.",True,"['algorithms', 'clustering', 'searching', 'matching', 'pattern', 'analysis', 'combinatorial', 'series', 'problems', 'time']"
ECS 119, Data Processing Pipelines," Introduction to software systems for processing large datasets. Hands-on experience with scripting, data streams, distributed computing, and software development and deployment infrastructure.",True,"['datasets', 'software', 'streams', 'scripting', 'processing', 'distributed', 'computing', 'data', 'infrastructure', 'systems']"
ECS 120, Theory of Computation," Fundamental ideas in the theory of computation, including formal languages, computability and complexity. Reducibility among computational problems.",True,"['computability', 'computational', 'complexity', 'reducibility', 'computation', 'theory', 'languages', 'formal', 'fundamental', 'problems']"
