Course ID,Course Title,Upper,Skills
COMPSCI 103,Advanced Programming and Problem Solving with C++,True,"['programming', 'advanced', 'language', 'software', 'skills', 'debugging', 'concepts', 'strengthening', 'design', 'projects']"
COMPSCI 111,Digital Image Processing,True,"['multimedia', 'digital', 'segmentation', 'graphics', 'signal', 'processing', 'filters', 'image', 'compression', 'concepts']"
COMPSCI 112,Computer Graphics,True,"['3d', 'graphics', 'polygonal', 'illumination', 'texturing', 'geometric', 'modeling', 'visibility', 'rasterization', 'algorithms']"
COMPSCI 113,Computer Game Development,True,"['2d', 'interactive', '3d', 'graphics', 'game', 'development', 'concepts', 'software', 'algorithms', 'principles']"
COMPSCI 114,Projects in Advanced 3D Computer Graphics,True,"['3d', 'illumination', 'graphics', 'modeling', 'surfaces', 'rendering', 'animation', 'projects', 'visualization', 'geometric']"
COMPSCI 115,Computer Simulation,True,"['simulation', 'stochastic', 'basic', 'distributions', 'event', 'system', 'dynamic', 'deterministic', 'probability', 'discrete']"
COMPSCI 116,Computational Photography and Vision,True,"['photographs', 'photography', 'stitching', 'panoramic', 'photo', 'vision', 'computational', 'image', 'warping', 'compositing']"
COMPSCI 117,Project in Computer Vision,True,"['3d', 'photographs', 'models', 'vision', 'tracking', 'robot', 'construction', 'topics', 'building', 'photo']"
COMPSCI 118,Introduction to Virtual Reality,True,"['vr', 'virtual', '3d', 'software', 'graphics', 'platform', 'environments', 'visual', 'systems', 'perception']"
COMPSCI 121,Information Retrieval,True,"['indexing', 'retrieval', 'clustering', 'classifying', 'multimedia', 'documents', 'text', 'introduction', 'information', 'an']"
COMPSCI 122A,Introduction to Data Management,True,"['dbms', 'database', 'databases', 'sql', 'relational', 'modeling', 'management', 'topics', 'applications', 'data']"
COMPSCI 122B,Project in Databases and Web Applications,True,"['databases', 'jdbc', 'database', 'odbc', 'java', 'applications', 'programming', 'web', 'technologies', 'topics']"
COMPSCI 122C,Principles of Data Management,True,"['storage', 'data', 'processing', 'principles', 'techniques', 'systems', 'management', 'content', 'buffer', 'file']"
COMPSCI 122D,Beyond SQL Data Management,True,"['databases', 'nosql', 'database', 'data', 'sql', 'relational', 'semistructured', 'topics', 'technologies', 'search']"
COMPSCI 125,Next Generation Search Systems,True,"['search', 'multimedia', 'video', 'event', 'technology', 'explored', 'techniques', 'systems', 'concepts', 'art']"
COMPSCI 131,Parallel and Distributed Computing,True,"['distributed', 'parallel', 'synchronization', 'programming', 'replication', 'systems', 'coordination', 'topics', 'transactions', 'models']"
COMPSCI 132,Computer Networks,True,"['networking', 'network', 'internet', 'protocols', 'routing', 'congestion', 'networks', 'multimedia', 'applications', 'architectures']"
COMPSCI 133,Advanced Computer Networks,True,"['protocols', 'unix', 'network', 'programming', 'networks', 'simulation', 'implementing', 'applications', 'design', 'designing']"
COMPSCI 134,Computer and Network Security,True,"['security', 'authentication', 'attacks', 'secure', 'authorization', 'countermeasures', 'secrecy', 'applications', 'integrity', 'credentials']"
COMPSCI 137,Internet Applications Engineering,True,"['interoperability', 'web', 'applications', 'http', 'internet', 'concepts', 'topics', 'engineering', 'services', 'peer']"
COMPSCI 141,Concepts in Programming Languages I,True,"['programming', 'languages', 'paradigms', 'implementation', 'operations', 'notation', 'stressing', 'structures', 'data', 'study']"
COMPSCI 142A,Compilers and Interpreters,True,"['programming', 'syntax', 'lexical', 'processors', 'language', 'semantic', 'code', 'optimization', 'introduction', 'interpretation']"
COMPSCI 142B,Language Processor Construction,True,"['interpreters', 'compilers', 'laboratory', 'language', 'construction', 'project', 'processors', 'build', 'experiments', 'behaviors']"
COMPSCI 143A,Principles of Operating Systems,True,"['processes', 'process', 'operating', 'systems', 'memory', 'management', 'resource', 'scheduling', 'file', 'protection']"
COMPSCI 143B,Project in Operating System Organization,True,"['hardware', 'specification', 'subsystem', 'components', 'system', 'software', 'operating', 'process', 'design', 'memory']"
COMPSCI 145,Embedded Software,True,"['embedded', 'hardware', 'architecture', 'computing', 'programming', 'software', 'systems', 'application', 'system', 'principles']"
COMPSCI 146,Programming in Multitasking Operating Systems,True,"['unix', 'programming', 'programmability', 'operating', 'systems', 'scripting', 'multitasking', 'programmed', 'shells', 'system']"
COMPSCI 147,Internet of Things (IoT) Software and Systems,True,"['iot', 'protocols', 'cloud', 'sensors', 'ecosystem', 'requirements', 'introduction', 'internet', 'networking', 'services']"
COMPSCI 151,Digital Logic Design,True,"['boolean', 'algorithms', 'hardware', 'implementation', 'arithmetic', 'systems', 'ssi', 'combinational', 'algebra', 'modules']"
COMPSCI 152,Computer Systems Architecture,True,"['microprocessor', 'hardware', 'implementation', 'design', 'processing', 'pipelining', 'interrupt', 'circuits', 'caches', 'memory']"
COMPSCI 153,Logic Design Laboratory,True,"['debugging', 'msi', 'circuits', 'lsi', 'digital', 'integrated', 'systems', 'displays', 'components', 'implementation']"
COMPSCI 154,Computer Design Laboratory,True,"['microprogramming', 'microprograms', 'instruction', 'systems', 'applications', 'principles', 'primitives', 'implemented', 'simulated', 'underlying']"
COMPSCI 161,Design and Analysis of Algorithms,True,"['algorithms', 'algorithm', 'computing', 'sorting', 'efficient', 'paths', 'shortest', 'networks', 'techniques', 'programming']"
COMPSCI 162,Formal Languages and Automata,True,"['automata', 'grammars', 'languages', 'parsing', 'computability', 'formal', 'recognizing', 'machines', 'describing', 'nondeterminism']"
COMPSCI 163,Graph  Algorithms,True,"['algorithms', 'graph', 'traversal', 'connectivity', 'network', 'solving', 'problems', 'matching', 'theory', 'flow']"
COMPSCI 164,Computational Geometry and Geometric Modeling,True,"['triangulation', 'geometry', 'algorithms', 'geometric', '3d', 'computational', '2d', 'voronoi', 'modeling', 'hulls']"
