Course ID,Course Title,Upper,Skills
CS 005,Introduction to Computer Programming,False,"['programming', 'computing', 'basic', '010a', '005', 'algorithm', 'nonengineering', 'arrays', 'nonscience', 'output']"
CS 006,Effective Use of the World Wide Web,False,"['web', 'internet', 'engineering', 'searching', 'commerce', 'privacy', 'information', 'communities', 'adetailed', 'fornon']"
CS 008,Introduction to Computing,False,"['008', '010a', 'unix', 'databases', 'web', 'basics', 'spreadsheets', 'students', 'engineering', 'windows']"
CS 009A,Data-Oriented Introduction to Computing I,False,"['computational', 'software', 'cs009m', 'application', 'debugging', 'data', 'engineering', 'lists', '009a', 'analysis']"
CS 009B,Data Oriented Introduction to Computing II,False,"['programming', 'software', 'algorithms', 'application', 'data', '009b', '010b', 'basic', 'engineering', 'advanced']"
CS 009C,C++ For Programmers    ,False,"['procedural', 'programming', 'constructs', 'object', 'language', 'oriented', 'prior', 'provides', 'those', 'experience']"
CS 010A,"Introduction to CS for Science Mathematics, and Engineering I - C++",False,"['programming', 'algorithms', 'software', 'structured', 'computers', '009a', '008', 'solving', 'debugging', '005']"
CS 010B,"Introduction to CS for Science, Mathematics, and Engineering II - C++",False,"['programming', 'pointers', 'structured', 'software', 'libraries', 'engineering', 'lists', 'types', '009b', 'recursion']"
CS 010C,Introduction to Data Structures and Algorithms,False,"['heaps', 'algorithms', 'lists', 'sorting', 'binary', 'queues', 'hashing', 'programming', 'stacks', 'arrays']"
CS 061,Machine Organization & Assembly Language Programming,False,"['programming', 'assemblers', 'assembly', 'sequential', 'addressing', 'organization', 'language', 'memory', 'interrupt', 'output']"
CS 100,Software Construction,True,"['programming', 'software', 'development', 'documentation', 'technology', 'debugging', 'environment', 'systems', 'implementation', 'maintenance']"
CS 105,Data Analysis Methods,True,"['data', 'visualization', 'analysis', 'applications', 'science', 'advanced', 'tasks', 'essential', 'variety', 'to']"
CS 108,Data Science Ethics    ,True,"['ethics', 'privacy', 'data', 'discrimination', 'bias', 'statistical', 'science', 'mitigating', 'curation', 'generalization']"
CS 110,Principles of Web Development    ,True,"['webs', 'distributed', 'web', 'development', 'applications', 'scalability', 'application', 'reliability', 'systems', 'redundancy']"
CS 111,Discrete Structures,True,"['mathematical', 'discrete', 'structures', 'algebraic', 'recurrence', 'generating', 'trees', 'asymptotic', 'graph', 'functions']"
CS 119L,Laboratory in Problem Solving and Programming (1 unit),True,"['algorithmic', 'algorithms', 'software', 'approaches', 'implementation', 'formulating', 'solving', 'designing', 'developing', 'problems']"
CS/EE 120A,Logic Design,True,"['hardware', 'digital', 'prototyping', 'systems', 'programmable', 'registers', 'decoders', 'synthesis', 'basic', 'multiplexors']"
CS/EE 120B,Introduction to Embedded Systems,True,"['hardware', 'microcontrollers', 'embedded', 'processor', 'computing', 'programmable', 'digital', 'electronic', 'software', 'programming']"
CS 130,Computer Graphics,True,"['graphics', 'shading', 'raster', 'algorithms', 'illumination', 'scan', 'clipping', 'modeling', 'applications', 'geometric']"
CS 131,Edge Computing,True,"['embedded', 'deploying', 'security', 'applications', 'service', 'performance', 'intelligence', 'industry', 'leveraging', 'ee']"
CS 135,Virtual/augmented Reality,True,"['vr', 'virtual', 'immersive', 'visual', 'perception', 'motion', 'worlds', 'physics', 'reality', 'experiences']"
CS 141,Intermediate Data Structures and Algorithms,True,"['algorithm', 'algorithms', 'graphs', 'recurrence', 'trees', 'greedy', 'summation', 'structures', 'strings', 'programming']"
CS 142,Algorithm engineering,True,"['algorithms', 'algorithm', 'sorting', 'computational', 'sequential', 'efficient', 'implementation', 'processing', 'cache', 'searching']"
CS 144,Algorithms for Bioinformatics,True,"['genomics', 'genome', 'gene', 'alignment', 'molecular', 'algorithms', 'biology', 'matching', '234', '238']"
CS 145,Combinatorial Optimization Algorithms,True,"['algorithms', 'combinatorial', 'algorithm', 'optimization', 'algorithmic', 'matchings', 'paths', 'shortest', 'programming', 'efficient']"
CS/EE 147,GPU Programming,True,"['gpus', 'parallel', 'programming', 'computing', 'graphics', 'computational', 'processing', 'threading', 'execution', 'performance']"
CS 150,Automata and Formal Languages,True,"['automata', 'formal', 'languages', 'turing', 'computational', 'decidability', 'grammars', 'models', 'machines', 'mathematical']"
CS 152,Compiler Design,True,"['compiler', 'compile', 'portability', 'parsing', 'lexical', 'analysis', 'code', 'semantic', 'memory', 'generation']"
CS 153,Design of Operating Systems,True,"['concurrency', 'operating', 'systems', 'system', 'security', 'performance', 'scheduling', 'memory', 'file', 'management']"
CS 160,Concurrent Programming and Parallel Systems,True,"['concurrency', 'concurrent', 'synchronization', 'interprocess', 'parallel', 'systems', 'distributed', 'transactions', 'implementation', 'databases']"
CS 161,Design and Architecture of Computer Systems,True,"['microprocessors', 'microprocessor', 'implementations', 'performance', 'implementation', 'systems', 'instruction', 'memory', 'hierarchy', 'evaluation']"
CS 161L,Laboratory in Design & Architecture of Computer Systems,True,"['hardware', 'simulator', 'architecture', 'simulation', 'systems', 'system', 'assemblers', 'instruction', 'description', 'memory']"
CS 163,Privacy Technologies,True,"['privacy', 'security', 'cryptography', 'mitigating', 'ethics', 'threats', 'services', 'systems', 'regarding', 'petition']"
