Course ID,Course Title,Upper Div,Skills
CMPSC 5B,Introduction to Data Science 2,False,"['data', 'students', 'visualizations', 'classification', 'learning', 'science', 'visualization', 'clustering', 'analyzing', 'regression']"
CMPSC 5A,Introduction to Data Science 1,False,"['programming', 'python', 'data', 'basic', 'subjects', 'code', 'students', 'language', 'table', 'science']"
CMPSC 8/W8,Introduction to Computer Science,False,"['programming', 'program', 'basic', 'debugging', 'development', 'students', 'documentation', 'variables', 'algorithms', 'data']"
CMPSC 9,Intermediate Python Programming,False,"['python', 'programming', 'software', 'methodologies', 'runtime', 'language', 'intermediate', 'science', 'oriented', 'testing']"
CMPSC 16,Problem Solving with Computers I,False,"['programming', 'computers', 'basic', 'debugging', 'binary', 'constructs', 'solving', 'cpu', 'arithmetic', 'blocks']"
CMPSC 24,Problem Solving with Computers II,False,"['programming', 'algorithms', 'computers', 'structures', 'stacks', 'lists', 'queues', 'blocks', 'intermediate', 'trees']"
CMPSC 32,Object Oriented Design and Implementation,False,"['encapsulation', 'computing', 'compilation', 'libraries', 'debugging', 'inheritance', 'advanced', 'development', 'object', 'operating']"
CMPSC 40,Foundations of Computer Science,False,"['theory', 'predicate', 'mathematical', 'propositional', 'recursion', 'counting', 'relations', 'theoretical', 'generating', 'science']"
CMPSC 64,Computer Organization and Logic Design,False,"['programming', 'circuits', 'assembly', 'sequential', 'digital', 'combinational', 'flops', 'advanced', 'flip', 'logic']"
CMPSC 99,Independent Studies in Computer Science,False,"['students', 'units', 'quarter', 'studies', 'limited', 'per', '199', 'total', '99', '30']"
CMPSC 100,Introduction to Teaching Methods in Computer Science,True,"['pedagogical', 'pedagogy', 'lecture', 'students', 'undergraduates', 'undergraduate', 'learning', 'assistant', 'apprentice', 'development']"
CMPSC 110,Introduction to Research in Computer Science,True,"['research', 'participants', 'technical', 'writing', 'teams', 'learning', 'problem', 'communication', 'proposal', 'papers']"
CMPSC 111,Introduction to Computational Science,True,"['numerical', 'algorithms', 'numpy', 'computational', 'matrix', 'optimization', 'computation', 'python', 'eigenvalue', 'scipy']"
CMPSC 130A,Data Structures and Algorithms I,True,"['traversal', 'heaps', 'structures', 'hash', 'trees', 'queues', 'data', 'search', 'graph', 'tables']"
CMPSC 130B,Data Structures and Algorithms II,True,"['algorithms', 'recurrence', 'programming', 'problems', 'applications', 'relations', 'dynamic', 'greedy', 'completeness', 'analysis']"
CMPSC 132,Algorithms Engineering,True,"['computational', 'prerequisites', 'computing', 'algorithms', 'complexity', 'implementing', 'program', 'ccs', 'analyzing', 'enrollment']"
CMPSC 134,Randomized Algorithms,True,"['randomization', 'randomized', 'algorithms', 'probabilistic', 'algorithmic', 'prerequisites', 'advanced', 'ideas', 'efficient', 'simpler']"
CMPSC 138,Automata and Formal Languages,True,"['automata', 'languages', 'computability', 'turing', 'grammars', 'formal', 'properties', 'machines', 'expressions', 'pushdown']"
CMPSC 140,Parallel Computing,True,"['parallelization', 'mapreduce', 'parallel', 'algorithms', 'computing', 'clusters', 'cloud', 'speedup', 'gpus', 'algorithm']"
CMPSC 148,Computer Science Project,True,"['projects', 'development', 'team', 'project', 'students', 'software', 'engineering', 'final', 'based', 'advanced']"
CMPSC 153A,Hardware/Software Interface,True,"['interfaces', 'embedded', 'scheduling', 'computing', 'software', 'systems', 'interfacing', 'threads', 'tasks', 'rapid']"
