Course ID,Course Title,Upper,Skills
2,Computer Literacy,False,"['programming', 'introductory', 'students', 'experience', 'prior', 'have', 'no', 'who', 'for']"
5C,Introduction to Programming in C/C++,False,"['programming', 'introductory', 'engineering', 'school', 'experience', 'prior', 'have', 'of', 'who', 'no']"
5J,Introduction to Programming in Java,False,"['programming', 'engineering', 'sintroduction', 'students', 'science', 'experience', 'prior', 'to', 'have', 'or']"
5P,Introduction to Programming in Python,False,"['computers', 'theory', 'future', 'science', 'foundations', 'what', 'can', 'now', 'on', 'do']"
10,Introduction to Computer Science,False,"['5j', 'scontinuation', 'of']"
11,Intermediate Programming,False,"['programming', 'accelerated', 'to']"
12A,Introduction to Programming (Accelerated),False,"['algorithms', 'teaches', 'students', 'data', 'structures', 'structure', 'exercises', 'implement', 'progressively', 'each']"
12B,Introduction to Data Structures,False,"['laboratory', 'development', 'software', 'sequence', 'training', 'taught', '12a', 'complementing', 'providing', 'in']"
12L,Computer Programming Laboratory ,False,"['development', 'software', 'complements', 'competence', '12b', 'languages', 'gaining', 'with', 'number', 'additional']"
12M,Data Structures Laboratory ,False,"['programming', 'structures', 'data', 'accelerated', 'and', 'to', 'provides', 'an']"
13H,Introduction to Programming and Data Structures (Honors),False,"['programming', 'structures', 'data', 'accelerated', 'practical', 'and', 'provides', 'to', 'of']"
13L,Introduction to Programming and Data Structures Laboratory ,False,"['wintroduction', 'game', 'development', 'to']"
20,Game Design Experience,False,"['3d', 'graphics', 'theory', 'introduces', 'and', 'of']"
25,Introduction to Computer Graphics: 3D Modeling,False,"['calculus', 'matlab', 'plotting', 'visualized', 'differentiation', 'regression', 'integration', 'engineering', 'functions', 'maple']"
60M,Scientific Computation with Matlab and Maple,False,"['systems', 'analysis', 'complex', 'problems', 'solving', 'and', 'an', 'as', 'to']"
80B,Systems and Simulation,False,"['unix', 'web', 'computing', 'operating', 'internet', 'language', 'system', 'world', 'the', 'to']"
80G,Introduction to Unix,False,"['engineering', 'social', 'idea', 'means', 'addressing', 'that', 'the', 'introduces', 'be', 'for']"
80J,Technology Targeted at Social Issues,False,"['ssurveys', 'games', 'interactive', 'technology', 'ethics', 'history', 'narrative', 'of', 'and']"
80K,Foundations of Interactive Game Design,False,"['innovations', 'social', 'software', 'wemerging', 'with', 'emphasis', 'on']"
80S,From Software Innovation to Social Entrepreneurship,False,"['3d', 'interactive', 'web', 'publishing', 'creating', 'content', 'project', 'oriented', 'about', 'on']"
80V,Creating Virtual Worlds on the Web,False,"['consultation', 'students', 'sponsor', 'topic', 'group', 'particular', 'small', 'provides', 'means', 'for']"
94,Group Tutorial,False,"['consultation', 'students', 'sponsor', 'topic', 'group', 'particular', 'small', 'provides', 'means', 'for']"
94F,Group Tutorial ,False,"['petition', 'sponsoring', 'submit', 'students', 'agency', 'to']"
99,Tutorial,False,"['petition', 'sponsoring', 'submit', 'students', 'agency', 'to']"
99F,Tutorial ,False,"['algorithms', 'abstract', 'types', 'data', 'basic', 'common', 'studies', 'relationships', 'their', 'to']"
101,Algorithms and Abstract Data Types,True,"['algorithms', 'smethods', 'systematic', 'mathematical', 'construction', 'analysis', 'and', 'of', 'for', 'the']"
102,Introduction to Analysis of Algorithms,True,"['compiler', 'basic', 'fan', 'to', 'used', 'in', 'the']"
104A,Fundamentals of Compiler Design I,True,"['compiler', 'implementation', 'advanced', 'of']"
104B,Fundamentals of Compiler Design II,True,"['unix', 'programming', 'interprocess', 'systems', 'basic', 'shell', 'system', 'terminal', 'daemons', 'files']"
105,Systems Programming,True,"['abstraction', 'software', 'inheritance', 'development', 'polymorphism', 'object', 'oriented', 'data', 'an', 'to']"
109,Advanced Programming,True,"['synchronization', 'operating', 'deadlocks', 'systems', 'scheduling', 'storage', 'memory', 'sfundamental', 'allocation', 'management']"
111,Introduction to Operating Systems,True,"['wcovers', 'languages', 'programming', 'styles', 'compares', 'philosophy', 'several', 'and']"
112,Comparative Programming Languages,True,"['wintroduction', 'concurrent', 'parallel', 'programming', 'to', 'and']"
113,Parallel and Concurrent Programming,True,"['engineered', 'software', 'femphasizes', 'systems', 'characteristics', 'well', 'of', 'the']"
115,Software Methodology,True,"['software', 'students', 'application', 'document', 'teams', 'system', 'domain', 'construct', 'specialized', 'complete']"
116,Software Design Project,True,"['security', 'network', 'including', 'selected', 'in', 'to']"
122,Computer Security,True,"['synchronization', 'distributed', 'replication', 'computing', 'communication', 'consistency', 'naming', 'fault', 'security', 'tolerance']"
128,"Distributed Systems: File Sharing, Online Gaming, and More",True,"['storage', 'magnetic', 'disk', 'software', 'technologies', 'systems', 'technology', 'file', 'system', 'media']"
129,Data Storage Systems,True,"['turing', 'languages', 'grammars', 'automata', 'representations', 'parsing', 'thesis', 'machines', 'fvarious', 'lemmas']"
130,Computational Models,True,"['computability', 'computational', 'complexity', 'hierarchy', 'machines', 'completeness', 'unsolvability', 'chomsky', 'grammars', 'recursive']"
132,Computability and Computational Complexity,True,"['wdisciplinary', 'communication', 'dc', '132', 'be', 'to', 'with', 'taken']"
132W,Computability and Computational Complexity ,True,"['wintroduction', 'computational', 'learning', 'perception', 'artificial', 'intelligence', 'optimization', 'search', 'inference', 'machine']"
140,Artificial Intelligence,True,"['fintroduction', 'algorithms', 'learning', 'machine', 'applications', 'to', 'and', 'their']"
142,Machine Learning and Data Mining,True,"['ai', 'games', 'wcourse', 'intelligence', 'artificial', 'comprehensive', 'use', 'in', 'of', 'provides']"
146,Game AI,True,"['storytelling', 'fiction', 'interactive', 'games', 'drama', 'generation', 'technologies', 'story', 'intelligence', 'based']"
148,Interactive Storytelling,True,"['rendering', 'imagery', 'fintroduces', 'modeling', 'transformation', 'generated', 'for', 'of', 'and']"
160,Introduction to Computer Graphics,True,"['fcomplements', 'software', 'graphics', 'graphical', 'development', '160', 'libraries', 'competence', 'interfaces', 'of']"
160L,Introduction to Computer Graphics Laboratory ,True,"['visualization', 'data', 'technical', 'information', 'wconcepts', 'analysis', 'communication', 'scientific', 'effective', 'and']"
161,Introduction to Data Visualization,True,"['wcomplements', '161']"
161L,Data Visualization Laboratory ,True,"['rendering', 'modeling', 'scenes', 'scovers', 'dynamic', 'foundations', 'static', 'mathematical', 'include', 'for']"
162,Advanced Computer Graphics and Animation,True,"['scomplements', '162']"
162L,Advanced Computer Graphics and Animation Laboratory ,True,"['games', 'graphic', 'scovers', 'elements', 'in', 'the']"
164,Game Engines,True,"['engines', 'designing', 'sprovides', 'experience', 'building', 'game', 'using', 'and', 'on', 'hands']"
164L,Game Engines Lab ,True,"['fintroduces', 'game', 'theory', 'biology', 'social', 'modern', 'applications', 'science', 'engineering', 'including']"
166A,Game Theory and Applications I,True,"['wexplores', 'game', 'biology', 'social', 'theory', 'frontiers', 'science', 'engineering', 'research', 'applications']"
166B,Game Theory and Applications II,True,"['capstone', 'ffirst', 'program', 'sequence', 'game', 'three', 'of', 'for', 'the']"
170,Game Design Studio I,True,"['capstone', 'program', 'wsecond', 'game', 'sequence', 'three', 'of', 'for', 'the']"
171,Game Design Studio II,True,"['capstone', 'program', 'sthird', 'game', 'sequence', 'three', 'of', 'for', 'the']"
172,Game Design Studio III,True,"['database', 'wintroduction', 'methodology', 'approaches', 'to', 'and', 'of', 'the']"
180,Database Systems I,True,"['wdisciplinary', 'communication', 'dc', '180', 'be', 'to', 'with', 'taken']"
180W,Database Systems ,True,"['database', 'implementation', 'architecture', 'systems', 'and', 'to', 'of', 'the']"
181,Database Systems II,True,"['database', 'methodology', 'fconcepts', 'approaches', 'of', 'and']"
182,Introduction to Database Management Systems,True,"['hypermedia', 'web', 'applications', 'fan', 'systems', 'large', 'construction', 'scale', 'of', 'and']"
183,Hypermedia and the Web,True,"['technology', 'industry', 'researchers', 'presentations', 'experts', 'practitioners', 'talks', 'exposure', 'video', 'broad']"
191,Computer Science and Technology Seminar ,True,"['tutoring', 'students', 'supervision', 'lab', 'lead', 'section', 'discussion', 'regularly', 'under', 'hold']"
192,Supervised Student Teaching/Tutoring,True,"['tutoring', 'students', 'supervision', 'lab', 'lead', 'section', 'discussion', 'regularly', 'under', 'hold']"
192F,Supervised Student Teaching/Tutoring ,True,"['academic', 'campus', 'objectives', 'science', 'using', 'member', 'provides', 'individual', 'specific', 'under']"
193,Field Study,True,"['academic', 'objectives', 'sponsor', 'science', 'site', 'individual', 'field', 'provides', 'member', 'for']"
193F,Field Study ,True,"['students', 'independent', 'program', 'group', 'arranged', 'member', 'between', 'of', 'and']"
194,Group Tutorial,True,"['students', 'independent', 'program', 'group', 'arranged', 'member', 'between', 'of', 'and']"
194F,Group Tutorial ,True,"['petition', 'sponsoring', 'submit', 'students', 'agency', 'to']"
195,Senior Thesis Research,True,"['intended', 'for']"
195F,Senior Thesis Research ,True,"['petition', 'sponsoring', 'submit', 'students', 'agency', 'to']"
198,Individual Study or Research,True,"['intended', 'for']"
198F,Individual Study or Research ,True,"['students', 'majoring', 'fourth', 'science', 'year', 'in', 'for']"
199,Tutorial,True,"['students', 'majoring', 'fourth', 'science', 'year', 'in', 'for']"
199F,Tutorial ,True,"['fbasic', 'assistants', 'teaching', 'responsibilities', 'grading', 'resource', 'class', 'handling', 'sessions', 'presentation']"
