Course ID,Course Title,Upper Div,Skills
CSE 3, Fluency in Information Technology,False,"['technology', 'information', 'basic', 'introduces', 'use', 'networks', 'necessary', 'practical', 'effectively', 'and']"
CSE 4GS, Mathematical Beauty in Rome,False,"['architecture', 'basilica', 'rome', 'mathematics', 'structures', 'arches', 'geometrical', 'colosseum', 'modeling', 'pantheon']"
CSE 6GS, Mathematical Beauty in Rome Lab,False,"['cse', 'projects', 'structure', 'rome', 'theory', 'model', 'students', 'complex', 'lab', 'colosseum']"
CSE 6R, Introduction to Computer Science and Object-Oriented Programming: Python,False,"['programming', 'python', 'cse', 'basic', 'algebra', 'students', 'recursion', 'complexity', 'class', 'school']"
CSE 8A, Introduction to Programming and Computational Problem-Solving I,False,"['cse', 'programming', 'introductory', 'computational', 'students', 'basics', 'computers', '8b', 'lists', 'compiling']"
CSE 8B, Introduction to Programming and Computational Problem-Solving II,False,"['cse', 'java', 'programming', 'introductory', 'basic', 'basics', 'class', 'students', 'development', 'web']"
CSE 11, Introduction to Programming and Computational Problem-Solving: Accelerated Pace,False,"['cse', 'programming', 'introductory', 'java', 'basics', 'basic', 'students', 'recursion', 'web', 'hierarchies']"
CSE 12, Basic Data Structures and Object-Oriented Design,False,"['java', 'implementation', 'lists', 'structures', 'collections', 'binary', 'stacks', 'tables', 'data', 'encapsulation']"
CSE 15L, Software Tools and Techniques Laboratory,False,"['debugging', 'software', 'development', 'laboratory', 'notebooking', 'scientific', 'experiences', 'investigation', 'hands', 'exploration']"
CSE 20, Discrete Mathematics,False,"['cse', 'computation', 'logic', 'math', 'program', 'propositional', 'predicate', 'databases', 'students', 'cryptography']"
CSE 21, Mathematics for Algorithms and Systems,False,"['algorithms', 'graphs', 'mathematical', 'counting', 'permutations', 'classes', 'recursive', 'systems', 'applications', 'graph']"
CSE 29, Systems Programming and Software Tools,False,"['programming', 'unix', 'compilers', 'programmer', 'program', 'software', 'valgrind', 'executes', 'gdb', 'systems']"
CSE 30, Computer Organization,False,"['programming', 'processors', 'computers', 'processor', 'assembly', 'basic', 'students', 'hierarchy', 'digital', 'executing']"
CSE 42, Building and Programming Electronic Devices,False,"['programming', 'program', 'students', 'arduino', 'engineering', 'computers', 'introductory', 'class', 'devices', 'device']"
CSE 86, C++ for Java Programmers,False,"['java', 'programming', 'programmer', 'pointers', 'preprocessor', 'runtime', 'templates', 'environment', 'stl', 'operator']"
CSE 87, First-year Student Seminar,False,"['seminar', 'seminars', 'students', 'undergraduate', 'enrollment', 'campus', 'colleges', 'year', 'program', 'first']"
CSE 89, Introduction to Computer Science and Engineering Seminar,False,"['cse', 'seminar', 'program', 'resources', 'developments', 'students', 'format', 'introduces', 'discussion', 'future']"
CSE 90, Undergraduate Seminar,False,"['seminar', 'topic', 'engineering', 'students', 'research', 'specialized', 'interest', 'science', 'present', 'providing']"
