Course ID,Course Title,Course Description,Upper Div,Skills
COMPSCI C8,Foundations of Data Science,"Foundations of data science from three perspectives: inferential thinking, computational thinking, and real-world relevance. Given data arising from some real-world phenomenon, how does one analyze that data so as to understand that phenomenon? The course teaches critical concepts and skills in computer programming and statistical inference, in conjunction with hands-on analysis of real-world datasets, including economic data, document collections, geographical data, and social networks. It delves into social and legal issues surrounding data analysis, including issues of privacy and data ownership.",False,"['data', 'datasets', 'privacy', 'computational', 'statistical', 'programming', 'economic', 'concepts', 'analyze', 'social']"
COMPSCI 10,The Beauty and Joy of Computing,"An introductory course for students with minimal prior exposure to computer science. Prepares students for future computer science courses and empowers them to utilize programming to solve problems in their field of study. Presents an overview of the history, great principles, and transformative applications of computer science, as well as a comprehensive introduction to programming. Topics include abstraction, recursion, algorithmic complexity, higher-order functions, concurrency, social implications of computing (privacy, education, algorithmic bias), and engaging research areas (data science, AI, HCI). Students will program in Snap! (a friendly graphical language) and Python, and will design and implement two projects of their choice.",False,"['programming', 'computing', 'python', 'program', 'algorithmic', 'introductory', 'snap', 'students', 'implement', 'applications']"
COMPSCI W10,The Beauty and Joy of Computing,"This course meets the programming prerequisite for 61A. An introduction to the beauty and joy of computing. The history, social implications, great principles, and future of computing. Beautiful applications that have changed the world. How computing empowers discovery and progress in other fields. Relevance of computing to the student and society will be emphasized. Students will learn the joy of programming a computer using a friendly, graphical language, and will complete a substantial team programming project related to their interests.",False,"['programming', 'computing', 'students', 'applications', '61a', 'course', 'graphical', 'discovery', 'learn', 'introduction']"
COMPSCI 36,CS Scholars Seminar: The Educational Climate in CS & CS61A technical discussions,"Computer Science 36 is a seminar for CS Scholars who are concurrently taking CS61A: The Structure and Interpretation of Computer Programs. CS Scholars is a cohort-model program to provide support in exploring and potentially declaring a CS major for students with little to no computational background prior to coming to the university. CS 36 provides an introduction to the CS curriculum at UC Berkeley, and the overall CS landscape in both industry and academia—through the lens of accessibility and its relevance to diversity. Additionally, CS36 provides technical instruction to review concepts in CS61A, in order to support CS Scholars’ individual learning and success in the CS61A course.",False,"['cs36', 'cs61a', 'academia', 'programs', 'curriculum', 'computational', 'major', 'program', 'scholars', 'students']"
COMPSCI 39,Freshman/Sophomore Seminar,"Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25.",False,"['seminars', 'seminar', 'semester', 'students', 'campus', 'freshman', 'sophomore', 'enrollment', 'topics', 'peers']"
COMPSCI 47A,Completion of Work in Computer Science 61A,"Implementation of generic operations. Streams and iterators. Implementation techniques for supporting functional, object-oriented, and constraint-based programming in the Scheme programming language. Together with 9D, 47A constitutes an abbreviated, self-paced version of 61A for students who have already taken a course equivalent to 61B.",False,"['implementation', 'streams', 'generic', 'iterators', 'operations', 'programming', 'scheme', 'an', '61a', '9d']"
COMPSCI 47B,Completion of Work in Computer Science 61B,"Iterators. Hashing, applied to strings and multi-dimensional structures. Heaps. Storage management. Design and implementation of a program containing hundreds of lines of code. Students who have completed a portion of the subject matter of COMPSCI 61B may, with consent of instructor, complete COMPSCI 61B in this self-paced course. Please note that students in the College of Engineering are required to receive additional permission from the College as well as the EECS department for the course to count in place of COMPSCI 61B.",False,"['iterators', 'hashing', 'heaps', 'storage', 'strings', 'implementation', 'students', 'program', 'compsci', 'structures']"
COMPSCI 47C,Completion of Work in Computer Science 61C,"MIPS instruction set simulation. The assembly and linking process. Caches and virtual memory. Pipelined computer organization. Students with sufficient partial credit in 61C may, with consent of instructor, complete the credit in this self-paced course.",False,"['mips', 'instruction', 'simulation', 'assembly', 'process', 'memory', 'students', 'pipelined', 'caches', 'virtual']"
COMPSCI 61A,The Structure and Interpretation of Computer Programs,"An introduction to programming and computer science focused on abstraction techniques as means to manage program complexity. Techniques include procedural abstraction; control abstraction using recursion, higher-order functions, generators, and streams; data abstraction using interfaces, objects, classes, and generic operators; and language abstraction using interpreters and macros. The course exposes students to programming paradigms, including functional, object-oriented, and declarative approaches. It includes an introduction to asymptotic analysis of algorithms. There are several significant programming projects.",False,"['abstraction', 'programming', 'complexity', 'algorithms', 'program', 'interpreters', 'macros', 'classes', 'recursion', 'approaches']"
COMPSCI 61B,Data Structures,"Fundamental dynamic data structures, including linear lists, queues, trees, and other linked structures; arrays strings, and hash tables. Storage management. Elementary principles of software engineering. Abstract data types. Algorithms for sorting and searching. Introduction to the Java programming language.",False,"['java', 'algorithms', 'sorting', 'lists', 'storage', 'arrays', 'searching', 'data', 'structures', 'hash']"
COMPSCI 61BL,Data Structures and Programming Methodology,"The same material as in 61B, but in a laboratory-based format.",False,"['material', '61b', 'laboratory', 'format', 'based', 'in', 'as', 'but', 'the', 'same']"
COMPSCI 61C,Great Ideas of Computer Architecture (Machine Structures),"The internal organization and operation of digital computers. Machine architecture, support for high-level languages (logic, arithmetic, instruction sequencing) and operating systems (I/O, interrupts, memory management, process switching). Elements of computer logic design. Tradeoffs involved in fundamental architectural design decisions.",False,"['architecture', 'architectural', 'computers', 'systems', 'internal', 'digital', 'design', 'machine', 'interrupts', 'memory']"
COMPSCI 70,Discrete Mathematics and Probability Theory,"Logic, infinity, and induction; applications include undecidability and stable marriage problem. Modular arithmetic and GCDs; applications include primality testing and cryptography. Polynomials; examples include error correcting codes and interpolation. Probability including sample spaces, independence, random variables, law of large numbers; examples include load balancing, existence arguments, Bayesian inference.",False,"['applications', 'examples', 'cryptography', 'gcds', 'undecidability', 'primality', 'arithmetic', 'testing', 'numbers', 'modular']"
COMPSCI 84,Sophomore Seminar,"Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores.",False,"['seminars', 'sophomores', 'sophomore', 'semester', 'students', 'campus', 'enrollment', 'topics', 'departments', 'members']"
COMPSCI C88C,Computational Structures in Data Science,"Development of Computer Science topics appearing in Foundations of Data Science (C8); expands computational concepts and techniques of abstraction. Understanding the structures that underlie the programs, algorithms, and languages used in data science and elsewhere. Mastery of a particular programming language while studying general techniques for managing program complexity, e.g., functional, object-oriented, and declarative programming. Provides practical experience with composing larger systems through several significant programming projects.",False,"['programming', 'computational', 'programs', 'program', 'abstraction', 'algorithms', 'complexity', 'c8', 'languages', 'systems']"
COMPSCI C100,Principles & Techniques of Data Science,"In this course, students will explore the data science lifecycle, including question formulation, data collection and cleaning, exploratory data analysis and visualization, statistical inference and prediction​, and decision-making.​ This class will focus on quantitative critical thinking​ and key principles and techniques needed to carry out this cycle. These include languages for transforming, querying and analyzing data; algorithms for machine learning methods including regression, classification and clustering; principles behind creating informative data visualizations; statistical concepts of measurement error and prediction; and techniques for scalable data processing.",True,"['data', 'visualizations', 'visualization', 'analyzing', 'quantitative', 'algorithms', 'learning', 'students', 'classification', 'science']"
COMPSCI 152,Computer Architecture and Engineering,"Instruction set architecture, microcoding, pipelining (simple and complex). Memory hierarchies and virtual memory. Processor parallelism: VLIW, vectors, multithreading. Multiprocessors.",True,"['multiprocessors', 'processor', 'architecture', 'multithreading', 'parallelism', 'pipelining', 'vliw', 'virtual', 'memory', 'hierarchies']"
COMPSCI 160,User Interface Design and Development,"The design, implementation, and evaluation of user interfaces. User-centered design and task analysis. Conceptual models and interface metaphors. Usability inspection and evaluation methods. Analysis of user study data. Input methods (keyboard, pointing, touch, tangible) and input models. Visual design principles. Interface prototyping and implementation methodologies and tools. Students will develop a user interface for a specific task and target user group in teams.",True,"['usability', 'prototyping', 'design', 'interface', 'interfaces', 'methodologies', 'evaluation', 'tangible', 'tools', 'implementation']"
COMPSCI 161,Computer Security,"Introduction to computer security. Cryptography, including encryption, authentication, hash functions, cryptographic protocols, and applications. Operating system security, access control. Network security, firewalls, viruses, and worms. Software security, defensive programming, and language-based security. Case studies from real-world systems.",True,"['cryptographic', 'cryptography', 'security', 'encryption', 'firewalls', 'authentication', 'viruses', 'applications', 'protocols', 'programming']"
