Course ID,Course Title,Upper,Skills
CSE 005,Introduction to Computer Applications,False,"['programming', 'computers', 'data', 'security', 'information', 'management', 'manage', 'knowledge', 'flow', 'control']"
CSE 015,Discrete Mathematics,False,"['mathematics', 'discrete', 'disciplines', 'basic', 'graphs', 'logic', 'formal', 'algebra', 'relations', 'boolean']"
CSE 019,Introduction to Computing,False,"['programming', 'basics', 'arrays', 'variables', 'students', 'recursion', 'execution', 'loops', 'output', 'solving']"
CSE 022,Introduction to Programming,False,"['programming', 'python', 'students', 'teaching', 'computers', 'learning', 'computational', 'learn', 'debugging', 'project']"
CSE 024,Advanced Programming,False,"['programming', 'pointers', 'basic', 'students', 'language', 'threading', 'advanced', 'introduces', 'intermediate', 'memory']"
CSE 030,Data Structures,False,"['algorithms', 'lists', 'implementation', 'sorting', 'graphs', 'stacks', 'queues', 'patterns', 'structures', 'tables']"
CSE 031,Computer Organization and Assembly Language,False,"['programming', 'pointers', 'machines', 'students', 'hardware', 'compilation', 'instruction', 'implementation', 'mips', 'structure']"
CSE 095,Lower Division Undergraduate Research,False,"['supervised', 'research']"
CSE 098,Lower Division Directed Group Study,False,"['repeats', '99', 'for', 'allowed']"
CSE 099,Lower Division Individual Study,False,"['repeats', '99', 'for', 'allowed']"
CSE 100,Algorithm Design and Analysis,True,"['algorithm', 'algorithms', 'algorithmic', 'sorting', 'optimization', 'complexity', 'graphs', 'patterns', 'programming', 'searching']"
CSE 106,Exploratory Computing,True,"['programming', 'scripting', 'unix', 'computing', 'documentation', 'perl', 'exploratory', 'languages', 'basics', 'utilities']"
CSE 107,Introduction to Digital Image Processing,True,"['segmentation', 'perception', 'image', 'morphological', 'enhancement', 'processing', 'digital', 'visual', 'detection', 'spatial']"
CSE 108,Full Stack Web Development,True,"['backend', 'frameworks', 'databases', 'security', 'development', 'web', 'scalable', 'relational', 'architecture', 'mappers']"
CSE 111,Database Systems,True,"['databases', 'database', 'sql', 'relational', 'data', 'warehousing', 'processing', 'programming', 'modeling', 'transaction']"
CSE 120,Software Engineering,True,"['projects', 'methodology', 'software', 'engineering', 'students', 'teams', 'project', 'systems', 'models', 'using']"
