,University,Course ID,Course Title,Upper Div,Skills
0,Berkeley,COMPSCI C8,Foundations of Data Science,False,"['data', 'datasets', 'privacy', 'computational', 'statistical', 'programming', 'economic', 'concepts', 'analyze', 'social']"
1,Berkeley,COMPSCI 10,The Beauty and Joy of Computing,False,"['programming', 'computing', 'python', 'program', 'algorithmic', 'introductory', 'snap', 'students', 'implement', 'applications']"
2,Berkeley,COMPSCI W10,The Beauty and Joy of Computing,False,"['programming', 'computing', 'students', 'applications', '61a', 'course', 'graphical', 'discovery', 'learn', 'introduction']"
3,Berkeley,COMPSCI 36,CS Scholars Seminar: The Educational Climate in CS & CS61A technical discussions,False,"['cs36', 'cs61a', 'academia', 'programs', 'curriculum', 'computational', 'major', 'program', 'scholars', 'students']"
4,Berkeley,COMPSCI 39,Freshman/Sophomore Seminar,False,"['seminars', 'seminar', 'semester', 'students', 'campus', 'freshman', 'sophomore', 'enrollment', 'topics', 'peers']"
5,Berkeley,COMPSCI 47A,Completion of Work in Computer Science 61A,False,"['implementation', 'streams', 'generic', 'iterators', 'operations', 'programming', 'scheme', 'an', '61a', '9d']"
6,Berkeley,COMPSCI 47B,Completion of Work in Computer Science 61B,False,"['iterators', 'hashing', 'heaps', 'storage', 'strings', 'implementation', 'students', 'program', 'compsci', 'structures']"
7,Berkeley,COMPSCI 47C,Completion of Work in Computer Science 61C,False,"['mips', 'instruction', 'simulation', 'assembly', 'process', 'memory', 'students', 'pipelined', 'caches', 'virtual']"
8,Berkeley,COMPSCI 61A,The Structure and Interpretation of Computer Programs,False,"['abstraction', 'programming', 'complexity', 'algorithms', 'program', 'interpreters', 'macros', 'classes', 'recursion', 'approaches']"
9,Berkeley,COMPSCI 61B,Data Structures,False,"['java', 'algorithms', 'sorting', 'lists', 'storage', 'arrays', 'searching', 'data', 'structures', 'hash']"
10,Berkeley,COMPSCI 61BL,Data Structures and Programming Methodology,False,"['material', '61b', 'laboratory', 'format', 'based', 'in', 'as', 'but', 'the', 'same']"
11,Berkeley,COMPSCI 61C,Great Ideas of Computer Architecture (Machine Structures),False,"['architecture', 'architectural', 'computers', 'systems', 'internal', 'digital', 'design', 'machine', 'interrupts', 'memory']"
12,Berkeley,COMPSCI 70,Discrete Mathematics and Probability Theory,False,"['applications', 'examples', 'cryptography', 'gcds', 'undecidability', 'primality', 'arithmetic', 'testing', 'numbers', 'modular']"
13,Berkeley,COMPSCI 84,Sophomore Seminar,False,"['seminars', 'sophomores', 'sophomore', 'semester', 'students', 'campus', 'enrollment', 'topics', 'departments', 'members']"
14,Berkeley,COMPSCI C88C,Computational Structures in Data Science,False,"['programming', 'computational', 'programs', 'program', 'abstraction', 'algorithms', 'complexity', 'c8', 'languages', 'systems']"
